decibelMedia,decibelDesvioPadrao,decibelMediana,pitchMedia,pitchDesvioPadrao,pitchMediana,Classe
36.11656884,14.01762549,32.64940299,143.5546875,124.3220062,215.3320313,Horota
34.08284276,11.16563621,32.64940299,107.6660156,152.2627395,107.6660156,Horota
35.84722241,13.88569125,32.64940299,0,0,0,Horota
36.64667727,15.90038914,36.276489,115.2368164,162.9694686,115.2368164,Horota
42.45903548,13.2865539,44.14165724,153.6490885,133.0640139,230.4736328,Horota
52.77273287,7.810117791,54.82412845,230.4736328,0,230.4736328,Horota
56.48419316,2.494207091,55.27603812,230.4736328,0,230.4736328,Horota
55.08290524,4.369276644,55.27603812,230.4736328,0,230.4736328,Horota
53.94679836,4.229658108,52.94815141,230.4736328,0,230.4736328,Horota
52.47570505,4.923218806,50.62026469,230.4736328,0,230.4736328,Horota
50.75652808,3.551569827,50.57937119,305.0891113,105.5222217,305.0891113,Horota
49.25002473,2.302858728,50.53847769,379.7045898,0,379.7045898,Horota
44.67560536,7.019611057,46.59133181,379.7045898,0,379.7045898,Horota
37.84287938,8.315958883,36.89700658,379.7045898,0,379.7045898,Horota
22.53027299,19.25352148,30.04029974,379.7045898,0,379.7045898,Horota
17.1233735,19.08062651,15.47148738,284.7784424,189.8522949,379.7045898,Horota
17.00927159,16.52627687,16.55286394,253.1363932,219.2225472,379.7045898,Horota
14.34857129,13.27502172,16.55286394,126.5681966,219.2225472,0,Horota
8.98743912,10.4700199,3.234638905,0,0,0,Horota
8.779748277,10.68476461,3.234638905,0,0,0,Horota
7.604286972,12.00919348,3.234638905,0,0,0,Horota
3.433986631,11.74232169,-0.384941573,0,0,0,Horota
7.895514466,21.50032334,-0.384941573,0,0,0,Horota
9.060733356,24.64346373,-2.341789667,0,0,0,Horota
21.64799321,30.39741723,20.80125325,0,0,0,Horota
35.27883723,26.44804384,47.72494442,0,0,0,Horota
48.47132889,2.235512558,49.54874458,48.62841797,68.77096821,48.62841797,Horota
50.2015215,0.798418674,49.96409784,48.62841797,68.77096821,48.62841797,Horota
50.2015215,0.798418674,49.96409784,97.25683594,0,97.25683594,Horota
50.79680859,1.129852565,51.09172208,97.25683594,0,97.25683594,Horota
52.15172646,1.308014318,51.74995911,97.25683594,0,97.25683594,Horota
51.64197578,1.476476887,51.42084059,97.25683594,0,97.25683594,Horota
51.44939506,1.615832709,51.03567915,97.25683594,0,97.25683594,Horota
51.44939506,1.615832709,51.03567915,134.0940755,63.80397057,97.25683594,Horota
51.02581284,1.728901395,50.21706147,152.5126953,78.14358573,152.5126953,Horota
50.16325105,0.139903693,50.11272374,207.7685547,0,207.7685547,Horota
48.79418757,2.418698588,50.05563023,207.7685547,0,207.7685547,Horota
48.03058175,2.863851022,48.03058175,183.8253784,47.88635254,207.7685547,Horota
49.75341726,3.60628727,50.05563023,159.8822021,55.29439706,159.8822021,Horota
49.70062306,3.60080606,49.89724765,150.3049316,52.45687096,111.9958496,Horota
47.14472832,5.896970514,47.95139046,135.9390259,47.88635254,111.9958496,Horota
45.29499007,7.353884781,44.68714587,111.9958496,0,111.9958496,Horota
