decibelMedia,decibelDesvioPadrao,decibelMediana,pitchMedia,pitchDesvioPadrao,pitchMediana
47.37993948,7.715486022,49.56911782,230.4446789,38.36895501,258.4654018
51.083726,2.642892244,49.8896886,231.3479138,37.16646368,258.4654018
46.1023278,9.963522999,49.24854704,232.2511486,35.89534446,258.4654018
39.04469901,16.29176756,42.09702053,219.144022,35.89534446,192.9297689
35.74268485,13.27981197,37.92518986,209.3136771,32.76781645,192.9297689
35.29727481,12.69272398,37.92518986,192.9297689,0,192.9297689
34.66926371,11.08155771,34.94549401,192.9297689,0,192.9297689
34.60020613,12.79463827,36.5310525,258.5303141,92.77318079,258.5303141
30.91116463,19.56280938,36.5310525,324.1308594,0,324.1308594
29.17307412,18.66728066,33.05487147,324.1308594,0,324.1308594
